date,node_id,one_hop_signed_spillover,own_news_shock,label_fwd_abret_5d
2024-01-02,N000,0.0315,0.0,-0.0004937444951847087
2024-01-02,N001,0.0,0.0,0.0012872563119642967
2024-01-02,N002,-0.08179,0.0,0.000395437013292427
2024-01-02,N003,0.0,0.0,-0.0002984162346184806
2024-01-02,N004,0.0,0.0,4.027329116008561e-05
2024-01-02,N005,0.0,0.0,-0.0004914085138581932
2024-01-02,N006,-0.01637,0.0,-0.002276278677924001
2024-01-02,N007,0.0,0.0,0.0016890674870034656
2024-01-02,N008,0.0,0.0,-0.0012264303483074635
2024-01-02,N009,0.0,0.0,-0.0010839423566810298
2024-01-02,N010,0.0,0.0,0.00015410105666425458
2024-01-02,N011,0.0,0.0,-0.00017903400057967374
2024-01-02,N012,0.0,0.0,9.848363780975943e-05
2024-01-02,N013,-0.01637,0.0,-0.00010633818537423453
2024-01-02,N014,0.0,0.0,0.0002374712126073588
2024-01-02,N015,0.0315,0.0,-0.0009569484703219069
2024-01-02,N016,0.0,0.0,-0.0002836082258755225
2024-01-02,N017,0.0,0.0,-0.00019094662750620027
2024-01-02,N018,0.0,0.0,-0.0008507713534943723
2024-01-02,N019,0.0,0.0,-0.00018156662435028166
2024-01-02,N020,-0.01637,0.0,0.00015547809266461553
2024-01-02,N021,-0.08179,0.0,-0.0004312685173791503
2024-01-02,N022,0.0,0.0,0.0016614073838108452
2024-01-02,N023,0.0,0.0,0.00046538955044323827
2024-01-02,N024,0.0,0.0,-0.0020927898143245894
2024-01-02,N025,0.0,0.0,-0.002075741429192728
2024-01-02,N026,0.0,0.0,-0.002213233552879466
2024-01-02,N027,0.0,0.0,0.00020779897524372983
2024-01-02,N028,0.0,0.0,0.0005284408059875128
2024-01-02,N029,0.0,0.0315,0.0002837903664086164
2024-01-02,N030,0.0,-0.08179,-0.0006848055981928574
2024-01-02,N031,0.0,0.0,0.0004027870929993228
2024-01-02,N032,0.0,-0.01637,-0.000189010553698364
2024-01-02,N033,0.0,0.0,0.0014333684679466029
2024-01-02,N034,0.0,0.0,-0.0008103776859330164
